Time, XRP(Price), Cash, Market Value, Shares,
78501, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78519, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78571, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78590, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78645, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78661, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78715, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78732, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78786, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78802, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78857, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78873, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78941, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78946, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79036, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79037, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79107, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79107, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79179, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79182, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79249, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79253, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79320, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79324, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79391, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79394, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79463, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79470, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79534, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79547, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79604, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79624, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79675, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79695, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79746, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79766, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79817, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79837, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79887, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79907, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79958, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
79978, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
80029, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
80049, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
